Power_limit,Pstate,Threads,Steps,Runtime,Commits,Aborts,Throughput,Energy_per_tx,Package_power
40,9.333333,2.333333,18.000000,29.459303,4823353.666667,3493326.333333,161591.085691,273.167421,37.446729
50,9.800000,10.200000,41.000000,39.067483,19112568.600000,1447431.400000,489894.206007,99.623958,48.680416
60,10.200000,17.400000,49.400000,49.746373,31401782.200000,2269212.400000,632514.251566,90.988230,57.480930
70,7.800000,19.400000,49.800000,47.930292,35516594.800000,3372947.800000,742440.287571,90.371042,67.022539
80,5.000000,19.800000,56.800000,42.947618,36310548.800000,3659961.200000,847062.354462,89.394263,75.657942
90,2.400000,20.000000,45.600000,40.101040,36692436.600000,3777897.800000,915084.640678,89.635207,82.008536
100,1.000000,19.800000,31.200000,36.114578,36878194.000000,3756819.600000,1024464.781072,90.891350,93.039086
110,0.000000,20.000000,21.500000,34.447217,37315119.500000,3963547.000000,1084550.481968,93.966448,101.810862
