Power_limit,Pstate,Threads,Steps,Runtime,Commits,Aborts,Throughput,Energy_per_tx,Package_power
40,9.000000,4.000000,18.200000,85.035503,25482510.000000,4533333.000000,299676.105958,131.891204,39.523547
50,10.000000,13.200000,46.200000,43.747888,24768322.800000,10484075.800000,565483.971111,90.922412,50.204954
60,7.600000,15.600000,48.800000,34.222155,26649341.200000,12689622.200000,779965.415750,74.764968,58.254822
70,3.400000,15.400000,47.600000,28.545988,26008542.400000,12978565.200000,911771.489040,73.447958,66.841558
80,1.200000,14.200000,26.200000,26.124056,26400455.600000,12296425.600000,1020031.916609,75.564862,76.486853
90,0.400000,17.400000,24.200000,22.663228,24869036.800000,15404733.600000,1115100.986209,79.558496,85.505367
100,0.000000,17.200000,17.800000,21.968483,26598063.400000,14900496.200000,1218675.572863,73.773324,89.500578
110,0.000000,16.400000,15.400000,22.716400,25570329.400000,13918747.400000,1132745.903066,78.220427,87.995030
