Energy_limit,Pstate,Threads,Steps,Runtime,Commits,Aborts,Throughput,Energy_per_tx,Package_power
1,1.666667,13.000000,109.000000,32.233322,26141532.333333,10773965.666667,814679.452540,77.836422,63.386558
2,0.428571,19.714286,84.000000,26.287278,26199304.857143,16594801.857143,1001625.852661,74.656091,74.585656
3,0.100000,19.650000,65.200000,24.460772,25766874.700000,16774851.550000,1055765.455173,75.601496,79.455190
