Energy_limit,Pstate,Threads,Steps,Runtime,Commits,Aborts,Throughput,Energy_per_tx,Package_power
1,3.125000,5.625000,61.500000,9.815999,20475846.000000,7602552.375000,2121311.403063,25.029070,53.120096
2,1.470588,6.529412,53.000000,8.386329,20213809.352941,11112963.058824,2460461.408939,25.621624,62.857335
3,0.700000,6.000000,53.250000,8.200467,20398857.400000,8782132.850000,2513517.479540,25.749017,64.679829
