Energy_limit,Pstate,Threads,Steps,Runtime,Commits,Aborts,Throughput,Energy_per_tx,Package_power
1,2.875000,5.875000,58.625000,6.577827,18796585.125000,5170863.375000,2899437.070963,18.574743,53.772245
2,0.500000,6.450000,53.950000,5.376826,18519513.700000,6289279.350000,3454209.551019,18.593274,64.185676
3,0.200000,6.150000,50.300000,5.448929,18590764.200000,5480853.650000,3417811.990248,19.024194,64.932827
