Energy_limit,Pstate,Threads,Steps,Runtime,Commits,Aborts,Throughput,Energy_per_tx,Package_power
1,1.642857,20.000000,42.500000,38.278170,37129218.928571,3922587.571429,978190.781337,91.897934,89.895933
2,0.400000,19.950000,42.250000,35.563486,37039343.800000,3886479.250000,1042921.600762,92.284594,96.191920
3,0.400000,19.850000,41.050000,36.088497,36868684.750000,3767645.950000,1023180.596698,93.755674,95.884101
