Benchmark,Heuristic,Throughput,Error
intruder,baseline,1604637.352428,0.578511
intruder,h0,2887468.635740,0.009953
intruder,h1,2908927.913687,0.013531
vacation,baseline,835334.467687,0.088203
vacation,h0,907365.471566,0.139605
vacation,h1,920881.385587,0.086912
genome,baseline,1773949.882981,0.033168
genome,h0,1776440.772514,0.272082
genome,h1,1879643.811161,0.131008
