Benchmark,Heuristic,Throughput,Error
intruder,baseline,1432712.746994,0.410995
intruder,h0,2623646.145688,1.804722
intruder,h1,2676258.189926,0.203090
vacation,baseline,733643.461754,0.000000
vacation,h0,768970.079899,0.094981
vacation,h1,796262.653889,0.103560
genome,baseline,1534321.805605,0.033586
genome,h0,1530608.535084,0.286538
genome,h1,1601879.970032,0.224886
