Benchmark,Heuristic,Throughput,Error
intruder,baseline,1409448.906015,0.357877
intruder,dual,2679785.171620,3.576152
intruder,h0,2588464.580255,1.813137
intruder,h1,2653345.726727,0.328890
vacation,baseline,737171.017797,0.003019
vacation,dual,738292.138899,0.018098
vacation,h0,775686.159211,0.260030
vacation,h1,796542.395052,0.067122
genome,baseline,1530869.898265,0.040971
genome,dual,1462798.306523,0.000000
genome,h0,1556374.630423,0.578662
genome,h1,1592675.641072,0.129233
ssca2,baseline,4040754.849865,0.014416
ssca2,dual,4013204.665377,0.013845
ssca2,h0,4847662.818656,3.053175
ssca2,h1,4779165.859262,0.490259
