P-state,Threads,Runtime,Throughput,Commits,,,
8,10,0.878173,0,0,,1.46388354,1.285543
8,11,0.975296,0,0,,1.318105478,1.285543
8,12,1.012396,0,0,,1.269802528,1.285543
8,13,0.965331,0,0,,1.331712128,1.285543
8,14,1.048325,0,0,,1.22628288,1.285543
8,15,1.077013,0,0,,1.193618833,1.285543
8,16,1.087554,0,0,,1.182049811,1.285543
8,17,1.059947,0,0,,1.212837057,1.285543
8,18,1.234675,0,0,,1.041199506,1.285543
8,19,1.180644,0,0,,1.088848967,1.285543
8,20,1.144536,0,0,,1.123200144,1.285543
9,1,1.865074,0,0,,0.689271847,1.285543
9,2,1.552494,0,0,,0.828050221,1.285543
9,3,0.720958,0,0,,1.78310387,1.285543
9,4,0.582311,0,0,,2.207657077,1.285543
9,5,0.587038,0,0,,2.189880383,1.285543
9,6,0.695215,0,0,,1.849130125,1.285543
9,7,0.707216,0,0,,1.817751578,1.285543
9,8,0.797823,0,0,,1.611313537,1.285543
9,9,0.934419,0,0,,1.375767188,1.285543
9,10,0.959609,0,0,,1.339652921,1.285543
9,11,1.025971,0,0,,1.253001303,1.285543
9,12,1.062966,0,0,,1.209392398,1.285543
9,13,1.012668,0,0,,1.269461462,1.285543
9,14,1.05383,0,0,,1.21987702,1.285543
9,15,1.164128,0,0,,1.10429695,1.285543
9,16,1.12018,0,0,,1.147621811,1.285543
9,17,1.184357,0,0,,1.085435388,1.285543
9,18,1.229845,0,0,,1.045288634,1.285543
9,19,1.223695,0,0,,1.050542006,1.285543
9,20,1.200783,0,0,,1.070587275,1.285543
10,1,2.008335,0,0,,0.640103867,1.285543
10,2,1.622581,0,0,,0.792282789,1.285543
10,3,0.776475,0,0,,1.655614154,1.285543
10,4,0.614295,0,0,,2.092712785,1.285543
10,5,0.60954,0,0,,2.109037963,1.285543
10,6,0.722382,0,0,,1.779588916,1.285543
10,7,0.723931,0,0,,1.775781117,1.285543
10,8,0.832734,0,0,,1.543761874,1.285543
10,9,0.975982,0,0,,1.317179005,1.285543
10,10,1.039011,0,0,,1.23727564,1.285543
10,11,1.097997,0,0,,1.170807388,1.285543
10,12,1.055254,0,0,,1.218230871,1.285543
10,13,1.053698,0,0,,1.220029838,1.285543
10,14,1.097559,0,0,,1.171274619,1.285543
10,15,1.226759,0,0,,1.047918132,1.285543
10,16,1.250652,0,0,,1.027898248,1.285543
10,17,1.221147,0,0,,1.052734028,1.285543
10,18,1.283056,0,0,,1.001938341,1.285543
10,19,1.245584,0,0,,1.032080534,1.285543
10,20,1.261055,0,0,,1.019418661,1.285543
11,1,2.175575,0,0,,0.590898038,1.285543
11,2,1.714505,0,0,,0.749804171,1.285543
11,3,0.845762,0,0,,1.519981981,1.285543
11,4,0.671024,0,0,,1.915792878,1.285543
11,5,0.636143,0,0,,2.020839654,1.285543
11,6,0.742122,0,0,,1.732252918,1.285543
11,7,0.755789,0,0,,1.700928434,1.285543
11,8,0.870367,0,0,,1.477012571,1.285543
11,9,1.078913,0,0,,1.191516832,1.285543
11,10,1.078013,0,0,,1.192511593,1.285543
11,11,1.113972,0,0,,1.154017336,1.285543
11,12,1.128863,0,0,,1.138794522,1.285543
11,13,1.132723,0,0,,1.134913832,1.285543
11,14,1.149257,0,0,,1.118586182,1.285543
11,15,1.334979,0,0,,0.962968706,1.285543
11,16,1.291976,0,0,,0.995020805,1.285543
11,17,1.258563,0,0,,1.021437147,1.285543
11,18,1.21267,0,0,,1.060093018,1.285543
11,19,1.273857,0,0,,1.009173714,1.285543
11,20,1.285543,0,0,,1,1.285543
