Heuristic,Pstate,Threads,Steps,Runtime,Commits,Aborts,Throughput,Energy_per_tx,Package_power
0,0.600000,6.000000,41.300000,5.584828,18840417.200000,5209054.500000,3381733.662427,18.273951,61.808732
1,0.100000,6.100000,46.000000,5.360109,18764019.400000,5315290.200000,3505828.631570,18.407887,64.478429
2,0.000000,7.300000,7.400000,4.876798,18082311.600000,8302221.600000,3713030.452266,18.377739,68.146878
3,0.400000,6.000000,50.800000,5.570348,18607802.700000,5225738.800000,3344395.034868,18.753198,62.666159
7,0.000000,6.300000,3.500000,5.232392,18798104.800000,5896979.800000,3630819.589879,18.441840,66.636045
