Heuristic,Pstate,Threads,Steps,Runtime,Commits,Aborts,Throughput,Energy_per_tx,Package_power
0,4.900000,20.000000,46.200000,43.885217,36939762.900000,3921623.000000,842403.235898,89.900025,75.699276
1,5.000000,19.888889,63.555556,43.769993,36248503.555556,3674951.333333,828663.685921,89.701847,74.290484
2,5.100000,19.900000,50.500000,43.720848,36339580.500000,3758988.800000,832464.431179,89.833735,74.710133
3,0.400000,19.900000,42.500000,35.494271,36976437.400000,3826349.500000,1043219.303665,90.804312,94.667773
7,0.000000,8.400000,5.400000,20.587126,16367504.400000,1599636.900000,794409.023136,101.121310,79.974144
