Benchmark,Heuristic,Throughput,Error
intruder,baseline,1835903.904958,4.344142
intruder,h0,2898715.004004,0.000000
intruder,h1,2910762.718492,0.000000
vacation,baseline,953543.356951,0.067326
vacation,h0,1031848.939536,0.379779
vacation,h1,1060839.269120,0.821747
genome,baseline,2014567.034824,0.004418
genome,h0,2031171.261734,0.281182
genome,h1,2096905.854220,0.383935
ssca2,baseline,5220176.658158,4.609204
ssca2,h0,5267993.578508,0.755381
ssca2,h1,5295744.239284,1.337804
