Benchmark,Heuristic,Throughput,Error
intruder,baseline,1383747.939732,0.551827
intruder,h0,2260058.378992,1.227500
intruder,h1,2325207.749415,1.772362
vacation,baseline,597853.521430,0.545644
vacation,h0,604812.946337,0.151830
vacation,h1,606458.343441,0.279986
genome,baseline,1209841.591436,0.645295
genome,h0,1075774.838070,0.538364
genome,h1,1092984.669311,0.718198
ssca2,baseline,3376797.755034,0.111358
ssca2,h0,4201487.693837,0.723444
ssca2,h1,4046522.834355,0.763285
