Heuristic,Pstate,Threads,Steps,Runtime,Commits,Aborts,Throughput,Energy_per_tx,Package_power
0,2.100000,19.100000,50.200000,24.949564,25649521.900000,16690472.000000,1029729.844944,71.676659,73.562476
1,2.300000,19.000000,65.000000,25.982215,26263408.100000,16273991.800000,1011935.659400,70.509725,71.287994
2,1.500000,15.800000,27.400000,25.033038,25314206.200000,13245923.700000,1017318.250957,76.042237,76.390317
3,0.200000,19.500000,62.900000,24.552557,24025577.700000,16222585.300000,980576.688387,81.151541,78.508180
7,0.000000,10.300000,7.300000,27.449223,26384163.600000,9242658.300000,970611.508642,84.010160,81.010770
