Benchmark,Heuristic,Throughput,Error
intruder,baseline,1383747.939732,0.551827
intruder,h0,2260058.378992,1.227500
intruder,h1,2281343.615880,0.150950
vacation,baseline,597853.521430,0.545644
vacation,h0,604812.946337,0.151830
vacation,h1,588892.503482,0.058640
genome,baseline,1209841.591436,0.645295
genome,h0,1075774.838070,0.538364
genome,h1,1092791.901537,0.170995
