P-state,Threads,Runtime,Commits,Aborts,Throughput,Package_energy,Core_energy,Dram_energy,Package_power,Core_power,Dram_power
14,2,24.759768,23428127,427864.4,946224.127838,177.848751,74.906523,43.683738,6.078818,2.560288,1.493097
14,3,17.442548,23428128,1321988.8,1343215.384102,144.046726,65.630716,36.066131,6.529828,2.975138,1.634946
14,4,13.868586,23428129,2324336.2,1689303.900238,127.304154,61.46349,31.970524,6.940317,3.350842,1.742957
15,1,50.44274,23428126,0,464457.624538,289.716019,96.959407,69.435235,5.234642,1.751883,1.254574
15,2,29.905288,23428127,447854.4,783437.359091,201.944514,77.808883,49.787311,5.702258,2.197091,1.405831
15,3,21.195285,23428128,1345489.6,1105351.993125,160.907913,65.99767,41.036407,5.990532,2.457066,1.527769
15,4,16.787496,23428129,2401038.8,1395645.454546,142.351613,62.639073,36.269231,6.358206,2.797796,1.619998
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Threads,Runtime,,,,,,,,,
,1,17.432032,,,,,,,,,
,2,9.764926,,,,,,,,,
,3,6.94634,,,,,,,,,
,4,5.550183,,,,,,,,,
