#thread	#p0	#p1	#p2	#p3	#p4	#p5	#p6	#p7	#p8	#p9	#p10	#p11
1	3022095.923875	2276698.106761	2139605.845654	2039095.602430	1943560.383091	1846708.051563	1746537.533817	1647690.313987	1548532.589992	1444844.789784	1347065.878638	1244988.053695	
2	2498461.500328	2055669.832205	1835942.664086	1788779.502446	1675350.029375	1635569.060532	1508101.800297	1442154.842686	1390916.607691	1324489.600713	1234941.902911	1155911.966235	
3	2324974.745104	1774371.021687	1709753.168408	1618404.237969	1578557.474336	1452801.594519	1412130.382331	1358168.539056	1396836.931991	1300785.442661	1225704.634735	1106589.338788	
4	2181042.157946	1767065.028158	1589425.126264	1547543.737599	1480620.468936	1429424.125479	1380373.029279	1322300.937831	1317026.387427	1240710.107646	1163183.480093	1065223.950916	
5	2097287.913076	1700834.306710	1566046.345848	1515610.777727	1425880.964626	1408225.032393	1311097.750327	1266604.606544	1227517.079746	1178409.435330	1109300.193211	1018155.293845	
6	2047821.347186	1669869.300452	1554155.947785	1454974.701374	1417710.080612	1343333.280340	1303423.575990	1232660.034639	1219859.252661	1176420.648668	1091975.262037	1007747.901063	
7	2003725.756985	1674341.782191	1532151.539293	1427329.749893	1394794.501964	1328758.438473	1285555.356900	1216994.129246	1174886.608649	1149123.336099	1070880.980579	989572.723020	
8	1956117.473619	1637947.694625	1470929.220985	1424638.862966	1367440.050935	1291538.943793	1257188.143431	1180786.088954	1116216.143637	1141353.777938	1065280.394984	979402.382925	
9	1898875.895667	1640486.839139	1434389.130401	1398600.980078	1334369.549240	1284846.949204	1202648.834259	1150155.050311	1119998.390191	1124520.974323	1035507.834851	957518.394738	
10	1884412.413891	1617502.487993	1397405.616008	1323238.054754	1304824.108872	1255969.664092	1185066.190951	1128997.617569	1085593.518717	1114971.680987	1005652.400365	938925.031515	
11	1901225.115798	1605834.602449	1364793.374707	1325625.443148	1256046.464641	1212458.201286	1163246.535219	1106574.520515	1061138.634445	1082084.745337	989244.328181	912128.530267	
12	1888689.595334	1580309.019648	1339830.350670	1298766.785449	1281269.236852	1209957.910962	1144819.036409	1090375.497978	1067107.950491	1033364.711764	954705.827589	896738.802456	
13	1885003.917610	1551255.807006	1326023.629256	1278448.149919	1249308.448355	1180049.141668	1121931.610088	1080539.276629	1012117.919000	1007466.298999	953667.839648	882697.613069	
14	1840445.504728	1532991.331078	1328775.675515	1286633.868804	1240565.730552	1165378.982984	1116569.765358	1062995.381369	1021103.750736	967576.991591	915664.702427	847604.269797	
15	1872966.426519	1517202.687224	1321053.115134	1281532.049487	1234585.292434	1169961.887595	1104066.302520	1040843.935202	985388.760383	937696.661109	867245.665327	822592.091250	
16	1846117.596351	1485800.792571	1332901.850230	1269713.224382	1198176.677815	1149761.697909	1105815.373227	1043510.583852	974005.502139	938828.401182	863595.658568	787862.392937	
17	1838550.248433	1474494.973247	1297335.031458	1250818.030537	1198100.599568	1124912.055738	1093106.693649	1018863.774927	961347.618286	910028.940391	856375.713524	780018.008665	
18	1813294.066175	1439099.570528	1294204.747083	1241711.687832	1200772.366694	1128916.974349	1074681.512011	999466.376683	947832.590693	893078.670296	825215.311608	775718.607276	
19	1795784.388444	1446633.678424	1277155.012541	1238776.862350	1178435.285745	1133371.603664	1061222.586769	1015197.038347	925593.869216	857631.428367	806330.114697	742081.376746	
20	1781293.017942	1423634.238447	1249837.722535	1222982.966073	1148786.682096	1125105.807837	1050673.526380	997287.690414	920469.419155	865153.323729	795768.748950	725967.332676	
