#thread	#p0	#p1	#p2	#p3	#p4	#p5	#p6	#p7	#p8	#p9	#p10	#p11
1	3996529.631625	3158552.828090	2904947.880768	2773271.742450	2639016.762136	2513965.861586	2394274.489121	2269345.959055	2141466.017317	1999764.481664	1876904.744082	1727299.752204	
2	2532869.847012	2129802.584638	1963378.797979	1803404.921604	1698528.937524	1613707.717386	1535069.927951	1468486.258598	1425333.805326	1366590.510786	1293580.895749	1197579.523906	
3	2184251.030745	1980877.109486	1745533.488325	1660127.337306	1684381.093676	1591267.964378	1587056.390880	1476409.264817	1391537.678784	1321113.415323	1232579.298844	1156695.424423	
4	2248011.406844	1887556.130221	1651190.501591	1633534.902976	1610620.828755	1616473.561236	1511470.938295	1463292.860403	1383941.452986	1340504.641935	1190156.929921	1108369.840093	
5	2138044.787806	1799656.883624	1652701.819749	1555988.229345	1600325.521466	1555576.892607	1502362.485658	1378830.506429	1354473.457683	1248452.792355	1164062.093954	1100391.362991	
6	2095968.061592	1720854.000686	1647127.463284	1547534.681502	1525059.505011	1484354.909680	1416735.953431	1307961.734963	1260475.704680	1197662.501094	1117906.794483	1049594.384425	
7	2015253.408179	1679636.823437	1549160.312220	1518867.577619	1514250.970244	1419493.830372	1369628.517478	1291390.048130	1246532.385268	1162766.238328	1098627.019342	1012655.213927	
8	2046443.211469	1614224.855811	1564735.572345	1485166.716002	1457474.656820	1388662.964811	1332739.491308	1269396.871922	1210006.041229	1121788.004154	1062918.432044	983368.112098	
9	2007248.241407	1599048.645198	1477632.231376	1457719.588686	1430289.928993	1380558.722078	1327946.493939	1226874.988866	1179966.002172	1096342.100848	1041336.821291	976409.669110	
10	1954578.465451	1555712.776266	1477606.311933	1429609.521298	1386839.590307	1340086.903259	1310594.404208	1214891.018172	1151193.852773	1087268.347509	1008461.798164	942947.641903	
11	1887449.900809	1530687.727416	1409564.718437	1384752.829596	1323389.236045	1284376.303943	1256607.030739	1202312.245751	1140107.425023	1056851.049793	960786.499933	918419.312554	
12	1802036.246217	1470219.231601	1376511.061398	1354939.479253	1321921.882946	1289142.734126	1246255.251590	1161806.242453	1089527.985255	1018274.800321	941356.386470	875147.978362	
13	1778036.808592	1474805.273158	1378079.971746	1335073.897290	1283016.027012	1231078.132073	1190318.449918	1155234.802200	1080228.855510	973821.969566	890749.218848	844786.947062	
14	1787694.366470	1440481.694598	1329183.560804	1267408.596869	1264624.138664	1217282.643671	1138938.416577	1092734.072185	1065039.972347	988044.646703	891574.012960	805298.594881	
15	1706219.584264	1433478.329592	1320559.313464	1316319.424509	1249982.241305	1214162.319333	1165976.439715	1109992.053014	1010431.108430	942868.782931	874080.292441	808256.385180	
16	1680678.833888	1371685.743982	1300662.329951	1261881.699344	1236007.809038	1186745.929975	1150341.431710	1076502.779798	1007311.442235	927717.460831	858360.348297	792102.458845	
17	1638209.433567	1369270.284952	1285821.685143	1254442.728776	1213810.150176	1160304.491802	1136132.344492	1060316.045005	991073.751215	927463.876215	816729.342679	782002.729610	
18	1596980.626243	1357083.756151	1273241.815357	1228706.246569	1203546.396616	1154596.279835	1096058.150559	1047174.718272	981204.926639	903861.506337	812625.157805	758701.362221	
19	1585550.725808	1346128.596978	1256018.468889	1216258.115819	1196657.751207	1143200.260030	1122769.211465	1042966.460498	974385.119640	895074.711231	830861.467279	757498.708915	
20	1526665.287021	1312997.088900	1248401.704549	1219488.498899	1167277.535935	1129065.191377	1087405.782867	1021754.587377	961186.697209	872944.799665	828679.110897	745490.630486	
