Benchmark,Heuristic,Throughput,Error
intruder,baseline,1419421.838255,0.354505
intruder,h0,2616537.487977,1.868353
intruder,h1,2661341.337343,2.232340
vacation,baseline,740157.308588,0.000000
vacation,h0,773013.026132,0.137176
vacation,h1,802907.554710,0.334270
genome,baseline,1568388.767433,0.000000
genome,h0,1495095.208761,0.271343
genome,h1,1550783.876743,0.428506
ssca2,baseline,3967506.066811,0.057853
ssca2,h0,4857705.719433,4.503478
ssca2,h1,4722262.707790,1.726424
