Benchmark,Heuristic,Throughput,Error
intruder,baseline,1604637.352428,0.578511
intruder,h0,2887468.635740,0.009953
intruder,h1,2886281.473387,0.000000
vacation,baseline,835334.467687,0.088203
vacation,h0,907365.471566,0.139605
vacation,h1,930543.853937,0.309199
genome,baseline,1773949.882981,0.033168
genome,h0,1776440.772514,0.272082
genome,h1,1833822.911128,0.342110
ssca2,baseline,4700219.799296,0.019960
ssca2,h0,5073300.504390,4.940547
ssca2,h1,5035448.850471,0.985688
