Benchmark,Heuristic,Throughput,Error
intruder,baseline,1598884.092931,0.657138
intruder,h0,1600662.867893,1.054824
intruder,h1,1513738.869645,2.003461
vacation,baseline,263710.017345,0.089603
vacation,h0,263658.267434,0.099007
vacation,h1,231128.074169,0.766770
genome,baseline,488017.459243,0.179476
genome,h0,449625.559764,0.069129
genome,h1,418232.853709,0.092570
ssca2,baseline,3152371.192600,0.397934
ssca2,h0,3061319.825025,0.150338
ssca2,h1,2948980.300010,0.396977
