Benchmark,Heuristic,Throughput,Error
intruder,baseline,1379228.078186,0.605782
intruder,h0,2244558.306891,1.239427
intruder,h1,2328252.987521,1.569651
vacation,baseline,592978.244977,0.830297
vacation,h0,606013.147078,0.189741
vacation,h1,603407.639568,0.307611
genome,baseline,1218530.206561,0.653374
genome,h0,1076411.346312,0.298036
genome,h1,1086601.188044,0.351137
ssca2,baseline,3399019.377758,0.053858
ssca2,h0,4320225.117818,0.999788
ssca2,h1,4119440.350651,0.534147
