Benchmark,Heuristic,Throughput,Error
intruder,baseline,1851400.367047,5.088782
intruder,h0,2893244.617736,0.000000
intruder,h1,2900020.293507,0.000000
vacation,baseline,957871.920168,0.065409
vacation,h0,1036722.233276,0.591346
vacation,h1,1061611.257931,0.697790
genome,baseline,2057364.223136,0.001906
genome,h0,2027804.460007,0.353776
genome,h1,2024191.916417,0.272326
ssca2,baseline,5245741.655908,4.542779
ssca2,h0,5263178.584215,0.196801
ssca2,h1,5274496.364303,1.243147
