Benchmark,Heuristic,Throughput,Error
intruder,baseline,1409448.906015,0.357877
intruder,dual,1554095.928851,0.382683
intruder,h0,2588464.580255,1.813137
intruder,h1,2653345.726727,0.328890
vacation,baseline,737171.017797,0.003019
vacation,dual,759667.432551,0.048879
vacation,h0,775686.159211,0.260030
vacation,h1,796542.395052,0.067122
genome,baseline,1530869.898265,0.040971
genome,dual,1693355.686003,0.428346
genome,h0,1556374.630423,0.578662
genome,h1,1592675.641072,0.129233
ssca2,baseline,4040754.849865,0.014416
ssca2,dual,4291798.879671,1.508150
ssca2,h0,4847662.818656,3.053175
ssca2,h1,4779165.859262,0.490259
