P-state,Threads,Throughput,Power,Steps,Runtime,Commits,Aborts,Energy
2.000000,16.000000,1292272.610761,75.729782,1.000000,6.326710,8194304.000000,102526.200000,478.983967
2.000000,17.000000,1363223.105683,78.076166,1.000000,5.927794,8194306.000000,108335.200000,462.788879
2.000000,18.000000,1445051.972329,80.414421,1.000000,5.653472,8194302.000000,113781.200000,454.593001
2.000000,19.000000,1474459.431081,81.320248,1.000000,5.546530,8194301.000000,120134.400000,450.877606
2.000000,20.000000,1574977.101750,84.071260,1.000000,5.199248,8194300.000000,131472.600000,436.943352
3.000000,1.000000,108511.904093,40.133835,1.000000,75.517221,8194304.000000,0.000000,3030.775811
3.000000,2.000000,165817.444242,43.073805,1.000000,49.417121,8194304.000000,5613.400000,2128.566207
3.000000,3.000000,252486.715251,45.445302,1.000000,32.457628,8194305.000000,13015.400000,1475.008077
3.000000,4.000000,325940.053162,47.642016,1.000000,24.298858,8194304.000000,19252.200000,1157.455997
3.000000,5.000000,413099.399427,49.903216,1.000000,19.538212,8194305.000000,26352.600000,975.016108
3.000000,6.000000,486003.569778,52.137924,1.000000,16.411691,8194302.000000,32709.200000,855.489924
3.000000,7.000000,574275.095436,54.666723,1.000000,13.869716,8194305.000000,39999.400000,758.189990
3.000000,8.000000,650768.537054,56.873207,1.000000,12.145965,8194304.000000,46505.000000,690.797633
3.000000,9.000000,731938.893103,59.085540,1.000000,10.996650,8194302.000000,53505.000000,649.672116
3.000000,10.000000,802159.544590,61.091759,1.000000,10.025159,8194300.000000,60549.400000,612.375226
3.000000,11.000000,855944.539592,62.537783,1.000000,9.571965,8194307.000000,66406.000000,598.541413
3.000000,12.000000,951231.056956,65.481171,1.000000,8.514339,8194308.000000,74174.600000,557.369117
3.000000,13.000000,1015380.453909,67.173223,1.000000,8.055812,8194303.000000,79999.200000,540.961201
3.000000,14.000000,1081158.307148,68.888106,1.000000,7.485631,8194298.000000,88383.000000,515.472764
3.000000,15.000000,1148744.984857,70.844716,1.000000,7.131115,8194305.000000,93570.800000,504.910841
3.000000,16.000000,1234291.803380,73.040194,1.000000,6.640063,8194304.000000,100818.600000,484.642668
3.000000,17.000000,1278840.801367,74.446320,1.000000,6.377271,8194306.000000,107902.600000,474.497943
3.000000,18.000000,1343021.725726,76.189873,1.000000,6.098621,8194302.000000,114911.200000,464.418757
3.000000,19.000000,1422022.483094,78.473239,1.000000,5.762000,8194301.000000,121964.400000,451.872293
3.000000,20.000000,1473717.978564,80.067243,1.000000,5.558175,8194300.000000,129981.800000,444.836007
4.000000,1.000000,104389.535007,39.429355,1.000000,78.497058,8194304.000000,0.000000,3095.074522
4.000000,2.000000,159412.443422,42.155672,1.000000,50.664165,8194304.000000,5664.000000,2135.569216
4.000000,3.000000,245857.768054,44.546751,1.000000,33.150586,8194305.000000,13083.600000,1476.735526
4.000000,4.000000,310908.278557,46.590589,1.000000,26.078823,8194304.000000,19278.200000,1215.005899
4.000000,5.000000,400190.313899,48.627256,1.000000,20.259262,8194305.000000,26732.400000,985.094206
4.000000,6.000000,467237.573156,50.437232,1.000000,16.960556,8194302.000000,32923.800000,855.392354
4.000000,7.000000,552832.560646,52.998503,1.000000,14.549330,8194305.000000,40241.400000,771.021061
4.000000,8.000000,623206.769885,54.912419,1.000000,12.826491,8194304.000000,46168.200000,704.263321
4.000000,9.000000,695511.875209,57.136375,1.000000,11.497273,8194302.000000,53272.400000,656.721903
4.000000,10.000000,769910.194961,59.232184,1.000000,10.427359,8194300.000000,60460.000000,617.603375
4.000000,11.000000,836915.062912,60.936940,1.000000,9.597698,8194307.000000,66575.000000,584.726616
4.000000,12.000000,916446.942982,63.315891,1.000000,8.862714,8194308.000000,73356.200000,561.001579
4.000000,13.000000,966090.051408,64.561761,1.000000,8.469974,8194303.000000,80493.600000,546.758268
4.000000,14.000000,1034722.675887,66.628242,1.000000,7.893176,8194298.000000,86994.000000,525.709506
4.000000,15.000000,1098100.955079,68.102137,1.000000,7.466003,8194305.000000,95321.600000,508.211150
4.000000,16.000000,1136644.753717,69.538492,1.000000,7.213999,8194304.000000,102155.200000,501.446849
4.000000,17.000000,1222811.893582,71.723423,1.000000,6.702332,8194306.000000,108790.200000,480.438053
4.000000,18.000000,1339705.416256,74.570539,1.000000,6.108712,8194302.000000,116643.400000,455.530096
4.000000,19.000000,1385554.486990,75.889640,1.000000,5.909354,8194301.000000,121518.400000,448.360766
4.000000,20.000000,1457739.890945,77.767480,1.000000,5.616803,8194300.000000,129660.800000,436.694170
5.000000,1.000000,99458.226651,38.675645,1.000000,82.394974,8194304.000000,0.000000,3186.644381
5.000000,2.000000,152751.059401,40.744338,1.000000,51.401178,8194304.000000,5735.200000,2094.101939
5.000000,3.000000,234001.536456,43.210234,1.000000,34.834733,8194305.000000,12990.400000,1505.204106
5.000000,4.000000,298070.965432,45.494662,1.000000,26.883598,8194304.000000,19372.800000,1222.863691
5.000000,5.000000,379080.319754,47.432984,1.000000,21.269996,8194305.000000,26431.200000,1008.861919
5.000000,6.000000,445698.426504,49.207850,1.000000,18.037619,8194302.000000,32692.400000,887.472715
5.000000,7.000000,520753.645391,51.123046,1.000000,15.641123,8194305.000000,40031.600000,799.561759
5.000000,8.000000,590244.378688,53.031187,1.000000,13.649582,8194304.000000,46439.800000,723.743630
5.000000,9.000000,665791.635397,55.299097,1.000000,12.132515,8194302.000000,53315.000000,670.751445
5.000000,10.000000,724019.491456,56.863710,1.000000,11.235077,8194300.000000,60481.800000,638.743091
5.000000,11.000000,796506.698775,58.832410,1.000000,10.269150,8194307.000000,66971.600000,604.091203
5.000000,12.000000,850351.969511,60.227178,1.000000,9.506201,8194308.000000,74381.400000,572.380615
5.000000,13.000000,938902.553366,62.395218,1.000000,8.622995,8194303.000000,81449.800000,537.934060
5.000000,14.000000,997971.416573,64.363924,1.000000,8.131566,8194298.000000,89012.400000,523.335306
5.000000,15.000000,1076547.394131,65.730884,1.000000,7.617146,8194305.000000,95072.600000,500.505347
5.000000,16.000000,1134579.877296,67.916820,1.000000,7.213454,8194304.000000,100072.800000,489.869425
5.000000,17.000000,1186695.799269,69.227120,1.000000,6.878841,8194306.000000,108885.400000,476.042446
5.000000,18.000000,1252090.102601,71.068821,1.000000,6.540916,8194302.000000,114273.200000,464.725116
5.000000,19.000000,1328896.912986,72.995745,1.000000,6.161816,8194301.000000,122865.200000,449.702108
5.000000,20.000000,1353548.818759,74.195839,1.000000,6.005061,8194300.000000,130445.600000,445.448896
6.000000,1.000000,94861.596964,37.048476,1.000000,86.382357,8194304.000000,0.000000,3200.368443
6.000000,2.000000,145887.112730,39.102172,1.000000,55.578262,8194304.000000,5664.000000,2173.033414
6.000000,3.000000,222581.956474,41.576367,1.000000,36.741671,8194305.000000,12945.600000,1527.503426
6.000000,4.000000,286144.373996,44.089353,1.000000,27.777381,8194304.000000,19509.200000,1224.513515
6.000000,5.000000,362052.316898,45.979853,1.000000,22.326444,8194305.000000,26574.000000,1026.474923
6.000000,6.000000,419066.995183,47.668738,1.000000,19.405072,8194302.000000,32851.400000,924.916211
6.000000,7.000000,496168.059707,49.585721,1.000000,16.356012,8194305.000000,39538.400000,810.842712
6.000000,8.000000,571160.984089,51.498922,1.000000,13.974783,8194304.000000,46413.800000,719.638820
6.000000,9.000000,627692.477043,52.765110,1.000000,12.987071,8194302.000000,53822.000000,685.202274
6.000000,10.000000,700390.022426,54.693003,1.000000,11.489735,8194300.000000,59598.800000,628.341080
6.000000,11.000000,758097.786023,56.145813,1.000000,10.804914,8194307.000000,66577.400000,606.468235
6.000000,12.000000,842628.210331,58.559290,1.000000,9.676202,8194308.000000,75090.800000,566.633254
6.000000,13.000000,892342.344686,59.840487,1.000000,9.181845,8194303.000000,80349.000000,549.331736
6.000000,14.000000,961489.661552,61.656760,1.000000,8.509060,8194298.000000,87713.800000,524.626489
6.000000,15.000000,1012078.822834,63.174547,1.000000,8.102538,8194305.000000,95506.000000,511.702938
6.000000,16.000000,1080685.367425,65.194881,1.000000,7.583645,8194304.000000,101517.600000,494.289714
6.000000,17.000000,1121976.055103,66.097762,1.000000,7.300853,8194306.000000,108644.000000,482.458140
6.000000,18.000000,1190545.685619,67.631257,1.000000,6.881043,8194302.000000,114975.600000,465.176324
