P-state,Threads,Throughput,Power,Steps,Runtime,Commits,Aborts,Energy
2.000000,16.000000,1730842.223459,64.591922,1.000000,4.420967,22362316.600000,1754.000000,285.555140
2.000000,17.000000,1721360.224639,65.276789,1.000000,4.492727,22362316.600000,1775.800000,293.271783
2.000000,18.000000,1736936.979598,67.377116,1.000000,4.375596,22362315.800000,1937.600000,294.783181
2.000000,19.000000,1724813.913743,68.194668,1.000000,4.472966,22362319.400000,2033.600000,305.059058
2.000000,20.000000,1732783.309610,70.032186,1.000000,4.404385,22362323.400000,2161.400000,308.447563
3.000000,1.000000,1122990.969296,40.149613,1.000000,11.022130,22362279.000000,0.000000,442.524929
3.000000,2.000000,1240901.394031,42.834615,1.000000,9.120570,22362281.000000,78.800000,390.680629
3.000000,3.000000,1446828.505843,44.792178,1.000000,6.563171,22362284.600000,193.400000,293.968790
3.000000,4.000000,1521082.718632,46.012367,1.000000,5.808296,22362286.000000,301.250000,267.250567
3.000000,5.000000,1586583.492796,47.624687,1.000000,5.198646,22362289.000000,428.200000,247.584291
3.000000,6.000000,1596675.234985,48.936750,1.000000,5.104943,22362291.000000,553.600000,249.816450
3.000000,7.000000,1610360.928318,50.541845,1.000000,4.978854,22362291.000000,652.600000,251.594851
3.000000,8.000000,1632526.092117,51.942651,1.000000,4.801078,22362293.000000,768.600000,249.369711
3.000000,9.000000,1645646.586814,53.094028,1.000000,4.703668,22362298.200000,877.000000,249.717891
3.000000,10.000000,1646939.073754,54.672278,1.000000,4.685509,22362301.800000,1032.800000,256.174966
3.000000,11.000000,1638536.512961,55.763696,1.000000,4.749041,22362304.200000,1115.600000,264.795831
3.000000,12.000000,1646542.323982,57.251484,1.000000,4.676410,22362303.800000,1209.800000,267.719762
3.000000,13.000000,1660972.062224,58.458761,1.000000,4.561736,22362305.000000,1356.800000,266.652308
3.000000,14.000000,1672514.715290,59.647072,1.000000,4.467242,22362307.000000,1474.800000,266.463954
3.000000,15.000000,1659714.998908,60.890283,1.000000,4.576270,22362312.600000,1607.800000,278.651826
3.000000,16.000000,1662917.038312,62.717312,1.000000,4.539048,22362317.400000,1699.200000,284.651468
3.000000,17.000000,1675878.100427,64.028885,1.000000,4.446527,22362317.000000,1819.600000,284.681034
3.000000,18.000000,1663735.208562,65.112043,1.000000,4.543244,22362315.000000,1976.200000,295.815539
3.000000,19.000000,1660446.404554,66.402566,1.000000,4.567405,22362319.400000,2060.400000,303.317790
3.000000,20.000000,1654000.473462,67.579207,1.000000,4.615900,22362321.000000,2144.400000,311.935285
4.000000,1.000000,1082039.213011,39.303762,1.000000,11.335486,22362279.000000,0.000000,445.521565
4.000000,2.000000,1193251.534405,41.619040,1.000000,9.387067,22362281.000000,84.200000,390.677955
4.000000,3.000000,1382429.147593,43.582703,1.000000,6.835493,22362283.800000,191.600000,297.907721
4.000000,4.000000,1467756.050682,45.230916,1.000000,5.897817,22362285.400000,297.400000,266.758790
4.000000,5.000000,1507784.234412,46.731303,1.000000,5.489130,22362289.400000,425.400000,256.520596
4.000000,6.000000,1529943.298469,47.895697,1.000000,5.266945,22362291.000000,563.000000,252.258217
4.000000,7.000000,1550199.596556,49.353816,1.000000,5.079443,22362291.000000,658.400000,250.685223
4.000000,8.000000,1545440.957976,50.442813,1.000000,5.117422,22362293.800000,770.200000,258.155784
4.000000,9.000000,1563174.377367,51.662393,1.000000,4.959552,22362298.200000,889.800000,256.212772
4.000000,10.000000,1565690.099535,53.070252,1.000000,4.937465,22362300.200000,1022.200000,262.024610
4.000000,11.000000,1558023.370698,54.108538,1.000000,4.998539,22362305.000000,1123.200000,270.468058
4.000000,12.000000,1586828.401495,55.428621,1.000000,4.739607,22362305.000000,1253.000000,262.698778
4.000000,13.000000,1565361.010622,56.493747,1.000000,4.933675,22362305.400000,1306.000000,278.730085
4.000000,14.000000,1576015.338631,57.878990,1.000000,4.839662,22362309.000000,1452.800000,280.131265
4.000000,15.000000,1580496.928596,59.311180,1.000000,4.803602,22362312.200000,1574.800000,284.934756
4.000000,16.000000,1579932.863343,60.090375,1.000000,4.795973,22362317.000000,1679.400000,288.188508
4.000000,17.000000,1572851.724580,61.457841,1.000000,4.872705,22362317.000000,1762.000000,299.473513
4.000000,18.000000,1579655.848931,63.315987,1.000000,4.807854,22362316.600000,1939.400000,304.426626
4.000000,19.000000,1590552.424041,63.760849,1.000000,4.701763,22362318.200000,1985.200000,299.796913
4.000000,20.000000,1575344.078719,66.146227,1.000000,4.849151,22362322.600000,2195.800000,320.765024
5.000000,1.000000,1035484.339406,38.359564,1.000000,11.764758,22362279.000000,0.000000,451.283781
5.000000,2.000000,1136434.704840,40.306443,1.000000,9.821811,22362281.000000,80.250000,395.881387
5.000000,3.000000,1327864.510910,42.593526,1.000000,6.990529,22362285.000000,192.000000,297.755781
5.000000,4.000000,1384201.370856,44.078474,1.000000,6.304713,22362285.400000,306.200000,277.899313
5.000000,5.000000,1446152.974129,45.470180,1.000000,5.613290,22362288.600000,450.800000,255.239056
5.000000,6.000000,1455389.763338,46.936595,1.000000,5.438777,22362291.000000,526.800000,255.279705
5.000000,7.000000,1474231.204149,47.993653,1.000000,5.333986,22362291.000000,669.000000,255.998991
5.000000,8.000000,1490545.170189,49.306954,1.000000,5.166229,22362293.400000,780.800000,254.728877
5.000000,9.000000,1481731.475681,50.231189,1.000000,5.247901,22362298.600000,878.200000,263.605405
5.000000,10.000000,1498958.371199,51.571252,1.000000,5.075815,22362301.800000,1041.000000,261.744471
5.000000,11.000000,1506293.073134,52.520948,1.000000,5.002927,22362304.200000,1122.400000,262.726622
5.000000,12.000000,1508580.515012,53.960615,1.000000,4.977491,22362305.000000,1231.800000,268.601729
5.000000,13.000000,1496790.110284,54.902887,1.000000,5.016686,22362305.000000,1336.200000,275.428592
5.000000,14.000000,1496281.885471,56.047944,1.000000,5.098258,22362308.600000,1425.200000,285.746925
5.000000,15.000000,1517904.110461,57.262396,1.000000,4.877915,22362312.600000,1563.600000,279.277606
5.000000,16.000000,1496629.954575,58.408463,1.000000,5.086417,22362317.400000,1745.400000,297.052902
5.000000,17.000000,1506066.020111,59.399809,1.000000,5.004469,22362317.000000,1778.800000,297.187203
5.000000,18.000000,1512725.331468,60.855628,1.000000,4.930542,22362316.200000,1916.200000,300.015394
5.000000,19.000000,1513532.667125,62.001257,1.000000,4.925568,22362318.600000,2056.000000,305.399792
5.000000,20.000000,1521972.944572,63.239173,1.000000,4.847829,22362324.200000,2152.800000,306.574557
6.000000,1.000000,990580.960827,37.046801,1.000000,12.194067,22362279.000000,0.000000,451.741092
6.000000,2.000000,1094075.553310,39.074411,1.000000,10.046207,22362281.400000,82.000000,392.552742
6.000000,3.000000,1265258.178441,41.148599,1.000000,7.283545,22362284.200000,197.600000,299.713894
6.000000,4.000000,1336455.386811,42.975456,1.000000,6.350524,22362285.400000,309.200000,272.906015
6.000000,5.000000,1368096.097134,44.185803,1.000000,5.965747,22362289.400000,423.800000,263.616073
6.000000,6.000000,1375082.000340,45.718193,1.000000,5.871383,22362290.200000,540.000000,268.410665
6.000000,7.000000,1389691.902251,46.475618,1.000000,5.708274,22362291.000000,654.400000,265.284453
6.000000,8.000000,1409914.103808,47.892158,1.000000,5.477807,22362293.000000,788.600000,262.340198
6.000000,9.000000,1413369.764063,48.873471,1.000000,5.401988,22362297.800000,879.400000,263.982211
6.000000,10.000000,1430964.433835,49.944967,1.000000,5.245583,22362301.800000,1008.200000,262.003638
6.000000,11.000000,1406201.620664,50.757327,1.000000,5.505663,22362301.800000,1079.800000,279.453289
6.000000,12.000000,1421370.344030,51.872132,1.000000,5.337643,22362305.000000,1223.600000,276.844848
6.000000,13.000000,1423579.984155,53.071268,1.000000,5.317094,22362304.200000,1370.800000,282.206602
6.000000,14.000000,1428793.195907,54.420237,1.000000,5.251517,22362307.400000,1498.800000,285.797303
6.000000,15.000000,1432634.125846,55.240140,1.000000,5.215929,22362313.000000,1562.200000,288.108418
6.000000,16.000000,1437294.292279,56.275992,1.000000,5.169604,22362317.000000,1660.400000,290.919544
6.000000,17.000000,1431954.226298,57.285358,1.000000,5.237439,22362316.600000,1770.800000,300.064686
6.000000,18.000000,1428933.246353,58.681998,1.000000,5.261016,22362315.800000,1921.400000,308.705667
6.000000,19.000000,1426021.040531,59.650834,1.000000,5.283571,22362318.200000,1971.200000,315.146617
6.000000,20.000000,1419612.011080,60.901627,1.000000,5.368479,22362321.000000,2138.400000,326.917583
7.000000,1.000000,940786.586224,36.431332,1.000000,12.777043,22362279.000000,0.000000,465.488054
7.000000,2.000000,1038283.056168,38.542236,1.000000,10.532046,22362281.000000,84.600000,405.916893
7.000000,3.000000,1201159.320641,40.290204,1.000000,7.611709,22362285.000000,187.600000,306.660751
7.000000,4.000000,1263030.375728,41.434278,1.000000,6.659236,22362285.400000,313.200000,275.897939
7.000000,5.000000,1294430.473779,42.887687,1.000000,6.272506,22362287.800000,420.200000,268.996284
7.000000,6.000000,1315113.327058,44.338352,1.000000,6.002100,22362290.200000,541.000000,266.155923
7.000000,7.000000,1328234.549546,45.243665,1.000000,5.833353,22362291.000000,679.000000,263.915804
