P-state;Threads;Runtime;Commits;Aborts;Throughput;Package_energy;Core_energy;Dram_energy;Package_power;Core_power;Dram_power
13;3;5.621590;2489218.000000;3150.200000;442876.666396;45.973991;21.814422;8.767726;6.633085;3.147418;1.264985
13;4;4.395823;2489220.000000;6416.200000;566375.865142;39.786495;19.883689;7.512395;6.974914;3.485853;1.317095
14;1;17.679622;2489218.000000;0.000000;140803.570202;104.568629;37.762452;21.063996;5.446105;1.966759;1.097034
14;2;9.756712;2489218.000000;1485.600000;255179.039042;65.277823;25.849873;13.234243;5.763482;2.282403;1.168520
14;3;6.573333;2489218.000000;3097.400000;378746.046344;49.947919;21.606036;9.947557;6.137440;2.654932;1.222237
14;4;5.164037;2489220.000000;6237.800000;482242.417138;43.696287;20.105088;8.604580;6.452964;2.969173;1.270705
15;1;21.513604;2489218.000000;0.000000;115707.257126;122.311759;40.837945;24.942197;5.224910;1.744511;1.065480
15;2;11.942111;2489218.000000;1495.800000;208446.380723;75.607741;27.270646;15.695272;5.440557;1.962314;1.129408
15;3;8.047619;2489218.000000;2961.800000;309323.535794;57.896666;23.074563;11.817243;5.786270;2.306107;1.181000
15;4;6.355547;2489220.000000;6152.600000;391714.411897;49.478413;20.539388;10.042406;5.948905;2.469563;1.207335
