Benchmark,Heuristic,Throughput,Error
intruder,baseline,528010.729675,0.274108
intruder,dual,1152646.545095,0.135390
intruder,h0,1165332.542922,0.094674
intruder,h1,1227695.731904,0.000452
vacation,baseline,164828.316578,4.853186
vacation,dual,207804.399385,0.314607
vacation,h0,204581.546209,2.001230
vacation,h1,213018.577383,0.049474
genome,baseline,159107.984180,0.750544
genome,dual,232486.914023,0.540532
genome,h0,215133.921899,0.244481
genome,h1,232054.767704,0.190099
ssca2,baseline,961113.121036,0.077747
ssca2,dual,1758684.005843,1.326337
ssca2,h0,1733054.179778,0.783215
ssca2,h1,1799378.068462,0.012642
