Benchmark,Heuristic,Throughput,Error
intruder,baseline,636873.256986,0.149497
intruder,dual,1337728.584607,0.000000
intruder,h0,1371164.994126,0.000000
intruder,h1,1395357.766887,0.000000
vacation,baseline,118259.633414,0.492367
vacation,dual,228469.100990,0.000000
vacation,h0,231053.331099,0.000000
vacation,h1,231887.845908,0.084404
genome,baseline,173742.822657,0.282200
genome,dual,203203.452330,0.000000
genome,h0,185615.247831,0.182043
genome,h1,190855.713669,0.056462
ssca2,baseline,1156145.471675,0.259018
ssca2,dual,1941614.077523,0.000000
ssca2,h0,2004646.763830,0.000000
ssca2,h1,2014775.951324,0.000000
