Benchmark,Heuristic,Throughput,Error
intruder,baseline,717756.529158,0.142145
intruder,h0,1220208.656263,0.000000
intruder,h1,1236523.612150,0.000000
vacation,baseline,143345.260117,0.528896
vacation,h0,193864.477785,0.000000
vacation,h1,196565.730120,0.000000
genome,baseline,202283.395969,0.180323
genome,h0,236782.306374,0.017819
genome,h1,256539.846510,0.000000
ssca2,baseline,1305204.143172,0.762449
ssca2,h0,1871315.762981,0.000000
ssca2,h1,1875929.881522,0.000000
