Energy_limit,Pstate,Threads,Steps,Runtime,Commits,Aborts,Throughput,Energy_per_tx,Package_power
1,4.300000,4.000000,38.000000,9.457721,5338476.000000,614250.400000,564679.791022,28.036788,15.837338
2,1.800000,4.000000,34.200000,8.442261,5331481.800000,621350.900000,631811.446436,30.871328,19.511966
3,0.100000,4.000000,34.000000,7.861318,5330482.000000,621632.200000,678310.571734,34.742858,23.572676
TS,0.000000,4.000000,3.000000,6.149805,5330528.800000,639875.500000,866902.482162,37.010602,32.083241
