Benchmark,Heuristic,Throughput,Error
intruder,baseline,1393134.548504,1.678630
intruder,h0,2233967.222681,4.098192
intruder,h1,2300638.593925,1.431735
vacation,baseline,633150.446064,4.613910
vacation,h0,618225.911415,4.389955
vacation,h1,615026.683713,2.774599
genome,baseline,1196515.414047,2.456759
genome,h0,1084207.326795,3.009488
genome,h1,1074770.942831,2.425336
ssca2,baseline,3355034.305266,1.608441
ssca2,h0,4250489.013013,1.969975
ssca2,h1,4024104.740846,2.394738
