Benchmark,Heuristic,Throughput,Error
intruder,baseline,808649.618235,0.625962
intruder,h0,1211356.957196,0.000000
intruder,h1,1247054.092871,0.000000
vacation,baseline,157513.351680,1.654645
vacation,h0,193489.384348,0.000000
vacation,h1,191739.679336,0.000000
genome,baseline,208806.181613,0.091838
genome,h0,228520.804516,0.000000
genome,h1,209621.246935,0.000000
ssca2,baseline,1366371.970258,1.092953
ssca2,h0,1891748.736298,0.000000
ssca2,h1,1896567.396546,0.000000
