Benchmark,Heuristic,Throughput,Error
intruder,baseline,638806.497937,0.153260
intruder,h0,1213427.180884,0.000000
intruder,h1,1233307.571872,0.000000
vacation,baseline,127000.082551,0.406802
vacation,h0,193191.123011,0.000000
vacation,h1,196775.628119,0.000000
genome,baseline,186742.180049,0.583080
genome,h0,237899.624207,0.000000
genome,h1,242561.588330,0.000000
ssca2,baseline,1133366.571583,0.308715
ssca2,h0,1876515.486857,0.000000
ssca2,h1,1902118.206041,0.000000
