Benchmark,Heuristic,Throughput,Error
intruder,baseline,533644.463720,0.186981
intruder,h0,1161828.858599,0.095156
intruder,h1,1190433.559067,0.343828
vacation,baseline,191178.500224,6.188296
vacation,h0,216708.841529,1.385826
vacation,h1,208387.730156,2.594925
genome,baseline,178630.847300,0.822739
genome,h0,204576.628478,0.000000
genome,h1,210488.592770,0.000000
ssca2,baseline,956773.585501,0.028310
ssca2,h0,1733972.012139,1.732168
ssca2,h1,1786317.164571,1.644190
