Constraint,Pstate,Threads,Steps,Runtime,Commits,Aborts,Throughput,Energy_per_tx,Package_power
60,0.450000,6.450000,17.800000,7.741950,20375636.000000,10427012.950000,2647501.791310,24.999135,66.248815
90,0.000000,7.400000,7.700000,7.661687,20306094.200000,16224897.300000,2659179.641553,27.276509,72.249254
110,0.000000,7.500000,6.500000,7.579075,19937792.250000,16076300.250000,2646085.079769,27.519871,72.374597
TS,0.000000,6.950000,3.950000,7.652562,20251831.650000,13629234.000000,2649997.077127,27.035581,71.439278
STATIC,0.000000,20.000000,1.000000,9.688592,16398162.000000,86577659.350000,1717621.385214,56.511448,92.704575
