Constraint,Pstate,Threads,Steps,Runtime,Commits,Aborts,Throughput,Energy_per_tx,Package_power
60,10.150000,17.700000,53.950000,48.855985,31648684.550000,2375563.700000,648920.299299,88.630601,57.459257
90,4.950000,19.850000,54.600000,43.574666,36053573.300000,3646573.500000,828264.577603,90.044107,74.528365
110,0.150000,19.850000,20.250000,34.911132,36842760.750000,3828024.700000,1056395.874190,93.235517,98.405090
TS,0.000000,19.210526,15.578947,31.926911,35795376.473684,3389248.578947,1122372.821641,90.795551,101.810255
STATIC,0.000000,20.000000,1.000000,32.588109,38073766.000000,4050346.350000,1168425.873905,90.071701,105.234248
