Constraint,Pstate,Threads,Steps,Runtime,Commits,Aborts,Throughput,Energy_per_tx,Package_power
60,7.050000,15.650000,45.250000,33.312397,26267646.500000,12801224.950000,790184.897228,74.937574,59.109094
90,1.500000,16.500000,30.350000,24.659788,26032740.950000,14233163.050000,1058308.592324,72.788655,76.853620
110,0.050000,17.300000,16.100000,22.203225,26237611.400000,15004511.150000,1187441.713635,73.913017,87.475143
TS,0.000000,12.300000,9.250000,25.670598,26304150.000000,10788851.450000,1053976.994926,80.974923,83.860463
STATIC,0.000000,20.000000,1.000000,18.875502,26042601.000000,18197571.900000,1380151.162014,70.680692,97.454172
