Benchmark,Heuristic,Throughput,Error
intruder,baseline,1902594.874532,12.059343
intruder,h0,2884607.541752,18.433539
intruder,h1,2896609.032648,18.468051
vacation,baseline,1283187.979546,13.540400
vacation,h0,1207117.995500,15.197760
vacation,h1,1195748.560214,14.279398
genome,baseline,2029781.866033,31.916011
genome,h0,1992735.602990,23.860580
genome,h1,1978370.680025,19.751135
ssca2,baseline,5223572.596252,10.961664
ssca2,h0,5296315.663960,11.006645
ssca2,h1,5228917.856526,10.045000
